TABELA CEST 2018;;;;;;;;;;;;;
BUSCA AUTOMÁTICA:;;;;;;;;;;;;;
NCM;DESCRIÇÃO;Início de vigência;CEST;SEGMENTO;;;;;;;;;
38151210;38151210 - Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;01/07/2017;100100;Autopeças;;;;;;;;;
38151290;38151290 - Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;01/07/2017;100100;Autopeças;;;;;;;;;
3917;3917 - Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;01/07/2017;100200;Autopeças;;;;;;;;;
39181000;39181000 - Protetores de caçamba;01/07/2017;100300;Autopeças;;;;;;;;;
39233000;39233000 - Reservatórios de óleo;01/07/2017;100400;Autopeças;;;;;;;;;
39263000;39263000 - Frisos, decalques, molduras e acabamentos;01/07/2017;100500;Autopeças;;;;;;;;;
40103;40103 - Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;01/07/2017;100600;Autopeças;;;;;;;;;
59100000;59100000 - Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;01/07/2017;100600;Autopeças;;;;;;;;;
40169300;40169300 - Juntas, gaxetas e outros elementos com função semelhante de vedação;01/07/2017;100700;Autopeças;;;;;;;;;
4823909;4823909 - Juntas, gaxetas e outros elementos com função semelhante de vedação;01/07/2017;100700;Autopeças;;;;;;;;;
40161010;40161010 - Partes de veículos automóveis, tratores e máquinas autopropulsadas;01/07/2017;100800;Autopeças;;;;;;;;;
57050000;57050000 - Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;01/07/2017;100900;Autopeças;;;;;;;;;
40169990;40169990 - Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;01/07/2017;100900;Autopeças;;;;;;;;;
59039000;59039000 - Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;01/07/2017;101000;Autopeças;;;;;;;;;
59090000;59090000 - Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;01/07/2017;101100;Autopeças;;;;;;;;;
63061;63061 - Encerados e toldos;01/07/2017;101200;Autopeças;;;;;;;;;
65061000;65061000 - Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;01/07/2017;101300;Autopeças;;;;;;;;;
6813;6813 - Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;01/07/2017;101400;Autopeças;;;;;;;;;
70072100;70072100 - Vidros de dimensões e formatos que permitam aplicação automotiva;01/07/2017;101500;Autopeças;;;;;;;;;
70071100;70071100 - Vidros de dimensões e formatos que permitam aplicação automotiva;01/07/2017;101500;Autopeças;;;;;;;;;
70091000;70091000 - Espelhos retrovisores;01/07/2017;101600;Autopeças;;;;;;;;;
70140000;70140000 - Lentes de faróis, lanternas e outros utensílios;01/07/2017;101700;Autopeças;;;;;;;;;
73110000;73110000 - Cilindro de aço para GNV (gás natural veicular);01/07/2017;101800;Autopeças;;;;;;;;;
73110000;73110000 - Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;01/07/2017;101900;Autopeças;;;;;;;;;
7320;7320 - Molas e folhas de molas, de ferro ou aço;01/07/2017;102000;Autopeças;;;;;;;;;
