TABELA CEST 2018;;;;
BUSCA AUTOMµTICA:;;;;
NCM;DESCRI€ÇO;In¡cio de vigˆncia;CEST;SEGMENTO
38151210;38151210 - Catalisadores em colmeia cerƒmica ou met lica para conversÆo catal¡tica de gases de escape de ve¡culos e outros catalisadores;01/07/2017;0100100;Autope‡as
38151290;38151290 - Catalisadores em colmeia cerƒmica ou met lica para conversÆo catal¡tica de gases de escape de ve¡culos e outros catalisadores;01/07/2017;0100100;Autope‡as
3917;3917 - Tubos e seus acess¢rios (por exemplo, juntas, cotovelos, flanges, uniäes), de pl sticos;01/07/2017;0100200;Autope‡as
39181000;39181000 - Protetores de ca‡amba;01/07/2017;0100300;Autope‡as
39233000;39233000 - Reservat¢rios de ¢leo;01/07/2017;0100400;Autope‡as
39263000;39263000 - Frisos, decalques, molduras e acabamentos;01/07/2017;0100500;Autope‡as
40103;40103 - Correias de transmissÆo de borracha vulcanizada, de mat‚rias tˆxteis, mesmo impregnadas, revestidas ou recobertas, de pl stico, ou estratificadas com pl stico ou refor‡adas com metal ou com outras mat‚rias;01/07/2017;0100600;Autope‡as
59100000;59100000 - Correias de transmissÆo de borracha vulcanizada, de mat‚rias tˆxteis, mesmo impregnadas, revestidas ou recobertas, de pl stico, ou estratificadas com pl stico ou refor‡adas com metal ou com outras mat‚rias;01/07/2017;0100600;Autope‡as
40169300;40169300 - Juntas, gaxetas e outros elementos com fun‡Æo semelhante de veda‡Æo;01/07/2017;0100700;Autope‡as
4823909;4823909 - Juntas, gaxetas e outros elementos com fun‡Æo semelhante de veda‡Æo;01/07/2017;0100700;Autope‡as
40161010;40161010 - Partes de ve¡culos autom¢veis, tratores e m quinas autopropulsadas;01/07/2017;0100800;Autope‡as
57050000;57050000 - Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;01/07/2017;0100900;Autope‡as
40169990;40169990 - Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;01/07/2017;0100900;Autope‡as
59039000;59039000 - Tecidos impregnados, revestidos, recobertos ou estratificados, com pl stico;01/07/2017;0101000;Autope‡as
59090000;59090000 - Mangueiras e tubos semelhantes, de mat‚rias tˆxteis, mesmo com refor‡o ou acess¢rios de outras mat‚rias;01/07/2017;0101100;Autope‡as
63061;63061 - Encerados e toldos;01/07/2017;0101200;Autope‡as
65061000;65061000 - Capacetes e artefatos de uso semelhante, de prote‡Æo, para uso em motocicletas, inclu¡dos ciclomotores;01/07/2017;0101300;Autope‡as
6813;6813 - Guarni‡äes de fric‡Æo (por exemplo, placas, rolos, tiras, segmentos, discos, an‚is, pastilhas), nÆo montadas, para freios, embreagens ou qualquer outro mecanismo de fric‡Æo, … base de amianto, de outras substƒncias minerais ou de celulose, mesmo combinadas com tˆxteis ou outras mat‚rias;01/07/2017;0101400;Autope‡as
70072100;70072100 - Vidros de dimensäes e formatos que permitam aplica‡Æo automotiva;01/07/2017;0101500;Autope‡as
70071100;70071100 - Vidros de dimensäes e formatos que permitam aplica‡Æo automotiva;01/07/2017;0101500;Autope‡as
70091000;70091000 - Espelhos retrovisores;01/07/2017;0101600;Autope‡as
70140000;70140000 - Lentes de far¢is, lanternas e outros utens¡lios;01/07/2017;0101700;Autope‡as
73110000;73110000 - Cilindro de a‡o para GNV (g s natural veicular);01/07/2017;0101800;Autope‡as
73110000;73110000 - Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou a‡o, exceto o descrito no item 18.0;01/07/2017;0101900;Autope‡as
7320;7320 - Molas e folhas de molas, de ferro ou a‡o;01/07/2017;0102000;Autope‡as
7325;7325 - Obras moldadas, de ferro fundido, ferro ou a‡o, exceto as do c¢digo 7325.91.00;01/07/2017;0102100;Autope‡as
780600;780600 - Peso de chumbo para balanceamento de roda;01/07/2017;0102200;Autope‡as
80070090;80070090 - Peso para balanceamento de roda e outros utens¡lios de estanho;01/07/2017;0102300;Autope‡as
830120;830120 - Fechaduras e partes de fechaduras;01/07/2017;0102400;Autope‡as
830160;830160 - Fechaduras e partes de fechaduras;01/07/2017;0102400;Autope‡as
830170;830170 - Chaves apresentadas isoladamente;01/07/2017;0102500;Autope‡as
83021000;83021000 - Dobradi‡as, guarni‡äes, ferragens e artigos semelhantes de metais comuns;01/07/2017;0102600;Autope‡as
83023000;83023000 - Dobradi‡as, guarni‡äes, ferragens e artigos semelhantes de metais comuns;01/07/2017;0102600;Autope‡as
831000;831000 - Triƒngulo de seguran‡a;01/07/2017;0102700;Autope‡as
84073;84073 - Motores de pistÆo alternativo dos tipos utilizados para propulsÆo de ve¡culos do Cap¡tulo 87;01/07/2017;0102800;Autope‡as
840820;840820 - Motores dos tipos utilizados para propulsÆo de ve¡culos automotores;01/07/2017;0102900;Autope‡as
84099;84099 - Partes reconhec¡veis como exclusiva ou principalmente destinadas aos motores das posi‡äes 8407 ou 8408;01/07/2017;0103000;Autope‡as
84122;84122 - Motores hidr ulicos;01/07/2017;0103100;Autope‡as
841330;841330 - Bombas para combust¡veis, lubrificantes ou l¡quidos de arrefecimento, pr¢prias para motores de igni‡Æo por centelha ou por compressÆo;01/07/2017;0103200;Autope‡as
84141000;84141000 - Bombas de v cuo;01/07/2017;0103300;Autope‡as
8414801;8414801 - Compressores e turbocompressores de ar;01/07/2017;0103400;Autope‡as
8414802;8414802 - Compressores e turbocompressores de ar;01/07/2017;0103400;Autope‡as
8414909;8414909 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;0103500;Autope‡as
84139190;84139190 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;0103500;Autope‡as
84149010;84149010 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;0103500;Autope‡as
8414903;8414903 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;0103500;Autope‡as
841520;841520 - M quinas e aparelhos de ar condicionado;01/07/2017;0103600;Autope‡as
84212300;84212300 - Aparelhos para filtrar ¢leos minerais nos motores de igni‡Æo por centelha ou por compressÆo;01/07/2017;0103700;Autope‡as
84212990;84212990 - Filtros a v cuo;01/07/2017;0103800;Autope‡as
84219;84219 - Partes dos aparelhos para filtrar ou depurar l¡quidos ou gases;01/07/2017;0103900;Autope‡as
84241000;84241000 - Extintores, mesmo carregados;01/07/2017;0104000;Autope‡as
84213100;84213100 - Filtros de entrada de ar para motores de igni‡Æo por centelha ou por compressÆo;01/07/2017;0104100;Autope‡as
84213920;84213920 - Depuradores por conversÆo catal¡tica de gases de escape;01/07/2017;0104200;Autope‡as
84254200;84254200 - Macacos;01/07/2017;0104300;Autope‡as
84311010;84311010 - Partes para macacos do CEST 01.043.00;01/07/2017;0104400;Autope‡as
8431492;8431492 - Partes reconhec¡veis como exclusiva ou principalmente destinadas …s m quinas agr¡colas ou rodovi rias;01/07/2017;0104500;Autope‡as
84339090;84339090 - Partes reconhec¡veis como exclusiva ou principalmente destinadas …s m quinas agr¡colas ou rodovi rias;01/07/2017;0104501;Autope‡as
84811000;84811000 - V lvulas redutoras de pressÆo;01/07/2017;0104600;Autope‡as
84812;84812 - V lvulas para transmissÆo ¢leo-hidr ulicas ou pneum ticas;01/07/2017;0104700;Autope‡as
84818092;84818092 - V lvulas solenoides;01/07/2017;0104800;Autope‡as
